"image","image class","date","bar","baz","xgt","qgg","lux","wsg","yyz","drt","gox","foo","boz","fyt","lgh","hrt","juu","target"
"training-img/flower/flower_79.jpg","flower","2016-04-05",-13.7977457838512,1,132.244708755144,-14.8880187220159,7059.59225922592,0.0187604842717678,-10.1316413196443,-3.31448169686332,-19.6379414902045,24.7748948726791,0.0776757633889376,1,0,-144.078606012362,367.977834271752,134340.064079843
"training-img/boat/boat_10.jpg","boat","2017-12-29",1370.96844066559,0,-53.0103964558905,-0.249638129779731,5404.07470747075,0.0141991451716703,-0.840672466763686,-57.5051857181688,-0.477005467914354,43.9933007204668,4.26603901530139,1,1,-169.232629146934,215.094104228051,167657.624550201
"training-img/airplane/airplane_94.jpg","airplane","2016-06-28",1240.61586306086,1,318.103169898232,25.2345156507687,6435.78506215456,0.0143656207233059,-4.98457604407869,-0.222096673570816,-9.07895666537972,2.44487954689253,1.03548698300718,1,1,-220.34935111491,220.027025729158,157211.302698406
"training-img/boat/boat_79.jpg","boat","2017-05-31",1258.36851629962,0,221.068820979207,-5.60437292335357,4915.48784878488,0.0219674727521265,6.18987990583083,-0.73272540924735,2.32431157491979,19.2905646149082,0.206948289602822,0,0,-246.892242645665,495.729658472707,-47320.6048670479
"training-img/llama/llama_25.jpg","llama","2018-03-29",307.458018910844,0,259.110856215015,2.89688727881775,5285.83130142214,0.0148297069176097,-7.54463171377227,-22.7018959211217,3.06692092655122,11.1713078992654,0.530466056310657,1,0,-199.510487467935,234.047119207281,-85209.683793766
"training-img/cake/cake_33.jpg","cake","2016-03-20",451.983141831089,0,174.338814664932,10.0956261151507,6640.63276327633,0.00428586812657202,18.0942184321228,-606.445126658947,17.7339779922281,25.4655473639296,0.185603251927437,0,0,-378.05187898513,20.0827920903715,126100.528932988
"training-img/mountain/mountain_85.jpg","mountain","2017-11-13",486.472806963301,1,14.124789604797,11.2236263250855,5591.44104410441,0.0169069692737442,-11.3747774038017,-4.42451473962406,21.721544282267,29.6319036025966,1.37681332264085,0,0,-473.827184665154,301.527011596789,35304.4207761814
"training-img/boat/boat_89.jpg","boat","2017-07-18",331.774076207834,1,149.158280379923,0.511949923432186,4701.82448244824,0.0181208927495761,0.816621601956502,-6.75353400957124,-0.331253617205623,44.3636332728844,0.465736556138122,1,0,160.804997516822,344.406426442217,259923.644780246
"training-img/cartoon/cartoon_18.jpg","cartoon","2017-04-12",226.960903173668,0,81.079297253585,18.7431230884298,5667.94149414942,0.00969866853606693,12.7285856111262,-83.5096379968754,14.8825278119355,35.8850819661226,8.908963293655,0,1,-231.326207487363,101.80776712727,139155.760143083
"training-img/boat/boat_94.jpg","boat","2018-03-12",274.333519867437,1,118.108062220082,22.517059400972,5442.32493249325,0.0250778542252359,9.28819199551961,-1549.92445209273,12.6812173682068,30.0288033539953,1.90359177415735,0,0,-369.157556116342,633.379260612674,85836.6881815138
